companies,Total,Average,Number
Mosfilm,18643553.0,3728710.6,5
Grand Highway Productions,18634643.0,18634643.0,1
Unfinished Films,18618284.0,18618284.0,1
Sherwood,18600000.0,18600000.0,1
Gross Entertainment,18599102.0,18599102.0,1
"Moving Pictures, DPI",18599102.0,18599102.0,1
Animal Kingdom,18588603.0,4647150.75,4
New Star Entertainment,18564613.0,18564613.0,1
Nimbus Film Productions,18552912.0,6184304.0,3
Atkinson/Knickerbocker Productions,18472850.0,18472850.0,1
Rankin/Bass Productions,18455530.0,9227765.0,2
Adam Fields Productions,18370522.0,6123507.333333333,3
Rollins-Joffe Productions,18344729.0,18344729.0,1
Ingenious Senior Film Fund,18340000.0,18340000.0,1
Embankment Films,18340000.0,18340000.0,1
White Hot Productions,18340000.0,18340000.0,1
Film Art Media,18340000.0,18340000.0,1
Thirukumaran Entertainment,18300000.0,4575000.0,4
Initial Pictures,18255700.0,9127850.0,2
Sumitomo Corporation,18189432.0,9094716.0,2
Little Gaddesden Productions,18144030.0,18144030.0,1
Oren Peli / Brian Witten Pictures,18112929.0,18112929.0,1
Friday Filmworks,18000000.0,18000000.0,1
Toei Doga,18000000.0,18000000.0,1
Independent Films,18000000.0,18000000.0,1
Colour Yellow Pictures,18000000.0,18000000.0,1
IamOTHER Entertainment,17986781.0,17986781.0,1
Wescom Productions,17985893.0,17985893.0,1
Open City Films,17911786.0,8955893.0,2
Interfest,17850711.0,17850711.0,1
Real Dakota,17850711.0,17850711.0,1
Nord-Ouest Productions,17840043.0,4460010.75,4
Travelling Picture Show Company,17834867.0,17834867.0,1
"Kinokompaniya ""Kvadrat""",17808683.0,17808683.0,1
Kulturelle Filmförderung Schleswig-Holstein,17804565.0,17804565.0,1
nordmedia Fonds GmbH,17804565.0,17804565.0,1
Dorje Film,17804565.0,17804565.0,1
BKM,17804565.0,17804565.0,1
Flyboys Films,17800000.0,17800000.0,1
Red Bank Films,17762705.0,17762705.0,1
Rifkin-Eberts,17741298.0,17741298.0,1
Hugo Productions,17720494.0,8860247.0,2
Media Pro Pictures,17709183.0,8854591.5,2
Blossom Films,17687921.0,8843960.5,2
Bron Studios,17662022.0,4415505.5,4
Sankei Shimbun,17636261.0,17636261.0,1
Nordisk Film- & TV-Fond,17591867.0,8795933.5,2
Avon Production,17570324.0,17570324.0,1
Finnegan/Pinchuk Productions,17530973.0,17530973.0,1
Waterhorse Productions,17530973.0,17530973.0,1
Behavioral Problem Productions Ltd.,17507368.0,17507368.0,1
Hoyts Film Partnership,17507368.0,17507368.0,1
Fandango,17504693.0,4376173.25,4
Land Films Inc.,17500000.0,17500000.0,1
Simcom Limited,17479755.0,8739877.5,2
Samuel Goldwyn,17421267.0,8710633.5,2
Sho Films,17387406.0,5795802.0,3
OG Project,17385830.0,17385830.0,1
Simian Films,17380126.0,17380126.0,1
Outland Productions,17374595.0,17374595.0,1
Sigma Films,17355754.0,8677877.0,2
Nederlandse Programma Stichting (NPS),17355754.0,8677877.0,2
Valley 9000,17343596.0,17343596.0,1
Studio Pierrot Co. Ltd.,17322136.0,17322136.0,1
Bandai,17322136.0,17322136.0,1
New Century Productions,17307019.0,17307019.0,1
Intandem Films,17286391.0,8643195.5,2
20th Century Fox Home Entertainment,17280326.0,17280326.0,1
Lemming Film,17245302.0,8622651.0,2
Lucille Ball Productions,17233166.0,17233166.0,1
Kingsmere Productions Ltd.,17218023.0,17218023.0,1
Jalem Productions,17217773.0,8608886.5,2
Isabella Films B.V.,17210884.0,8605442.0,2
Union,17185632.0,17185632.0,1
Toei Animation Company,17137302.0,17137302.0,1
Jerry Lewis Productions,17100000.0,8550000.0,2
Columbus Circle Films,17092453.0,17092453.0,1
Telegael,17062499.0,17062499.0,1
Splash Entertainment,17062499.0,17062499.0,1
Assemblage Entertainment,17062499.0,17062499.0,1
Earthship Productions,17040871.0,17040871.0,1
Pinewood Studios,17028971.0,8514485.5,2
Charles K. Feldman Group,17012000.0,8506000.0,2
Granada Television,17011018.0,5670339.333333333,3
Cinemaker Oy,17000000.0,17000000.0,1
Arachnid Productions Ltd.,17000000.0,17000000.0,1
Anima Vitae,17000000.0,17000000.0,1
Ulysses,17000000.0,17000000.0,1
Robert Lawrence Productions,16991902.0,16991902.0,1
Metal Productions Inc.,16991902.0,16991902.0,1
Maysville Pictures,16991902.0,16991902.0,1
Brass Hat Films,16974459.0,16974459.0,1
The Cannon Group,16949348.0,8474674.0,2
Bisgrove Entertainment,16942795.0,16942795.0,1
Ufland,16929123.0,16929123.0,1
Balmoral Associates,16928137.0,16928137.0,1
Atchity Entertainment International (AEI),16872671.0,16872671.0,1
Picture Machine,16863708.0,8431854.0,2
Galavis Film,16863583.0,16863583.0,1
"Fria Luz Del Dia, A.I.E.",16863583.0,16863583.0,1
Hungry Eye Lowland Pictures B.V.,16856124.0,16856124.0,1
Flan de Coco Films,16856124.0,16856124.0,1
Hachette Première,16794187.0,8397093.5,2
WDR / Arte,16793317.0,8396658.5,2
360 Pictures,16783664.0,5594554.666666667,3
Redeemable Features,16757163.0,16757163.0,1
Dollface,16757163.0,16757163.0,1
Inca Films S.A.,16756372.0,16756372.0,1
Sahara Films,16756372.0,16756372.0,1
Tu Vas Voir Productions,16756372.0,16756372.0,1
Splendid Productions,16702864.0,16702864.0,1
Fantefilm,16696488.0,8348244.0,2
Zoma Films Ltd.,16680836.0,16680836.0,1
Norsk TV2 AS,16680836.0,16680836.0,1
Something Else B.V.,16680836.0,16680836.0,1
David Merrick Productions,16656125.0,16656125.0,1
The Bryna Company,16647800.0,16647800.0,1
Rye Road Productions,16633035.0,16633035.0,1
Babe Ruthless Productions,16633035.0,16633035.0,1
IDT Entertainment,16627188.0,16627188.0,1
Film House Germany,16625558.0,5541852.666666667,3
Kuzui Enterprises,16624456.0,16624456.0,1
Sandollar,16624456.0,16624456.0,1
Sailor Bear,16615498.0,8307749.0,2
Altitude Film Entertainment,16614264.0,8307132.0,2
Stampede Entertainment,16589540.0,16589540.0,1
Chrysler Corporation,16566240.0,16566240.0,1
Cottage Industries,16566240.0,16566240.0,1
Shade Pictures,16566240.0,16566240.0,1
Zone Productions,16500000.0,16500000.0,1
Delphi Productions,16500000.0,16500000.0,1
Noel Gay Motion Picture Company,16491080.0,16491080.0,1
Back Lot Pictures,16389953.0,8194976.5,2
Radio Telefís Éireann (RTÉ),16388146.0,8194073.0,2
Panorama Media,16374328.0,16374328.0,1
34th Street Films,16337881.0,16337881.0,1
Darkside Movie,16324573.0,16324573.0,1
Pierce/Williams Entertainment,16319587.0,8159793.5,2
Cinevox Filmproduktion GmbH,16283667.0,16283667.0,1
Opus Film,16209985.0,5403328.333333333,3
International Film Corporation,16209459.0,16209459.0,1
Ashutosh Gowariker Productions Pvt. Ltd. (AGPPL),16180000.0,16180000.0,1
Nutcracker Holdings,16178959.0,16178959.0,1
Russian Roulette Ltd.,16178959.0,16178959.0,1
Vnesheconombank,16178959.0,16178959.0,1
HCC Media Group,16178959.0,16178959.0,1
Eagle Associates,16175602.0,16175602.0,1
Kudos Productions Ltd.,16153834.0,8076917.0,2
American Film Company,16132451.0,8066225.5,2
Keylight Productions,16051363.0,16051363.0,1
Telespan 2000,16044460.0,5348153.333333333,3
Film Commission Torino-Piemonte,16018233.0,5339411.0,3
Chickie The Cop Production,16017403.0,16017403.0,1
Rhulen Entertainment,16017403.0,16017403.0,1
Daniel Fried Productions,16017403.0,16017403.0,1
Kinoshita Management,16000000.0,16000000.0,1
Shri Sai Raam Creations,16000000.0,16000000.0,1
Vishesh Films,16000000.0,16000000.0,1
Andor Films,16000000.0,16000000.0,1
Frostbacks,15945534.0,15945534.0,1
Phantom Films,15913926.0,7956963.0,2
Boram Entertainment Inc.,15907569.0,7953784.5,2
Cheetah Vision,15900651.0,3975162.75,4
Ministère des Affaires étrangères et du Développement International,15870798.0,7935399.0,2
Tiny Giant Entertainment,15861566.0,15861566.0,1
Greek Film Center,15766390.0,7883195.0,2
Image Organization,15719109.0,15719109.0,1
Pierre David,15719109.0,15719109.0,1
Meespierson Film CV,15705007.0,15705007.0,1
Manhattan Pictures International,15705007.0,15705007.0,1
Mulholland Pictures BV,15705007.0,15705007.0,1
Friland Produksjon,15699707.0,15699707.0,1
Protagonist Films,15656193.0,15656193.0,1
Scarlet Films,15656193.0,15656193.0,1
Limp Films,15656193.0,15656193.0,1
L'Aide aux Cinémas du Monde,15656193.0,15656193.0,1
Institut Français,15656193.0,15656193.0,1
Eyeworks,15647609.0,7823804.5,2
House & Moorhouse Films,15644307.0,7822153.5,2
The Samuel Goldwyn Company,15614765.0,3903691.25,4
Iron Fists,15608545.0,15608545.0,1
Zero Trans Fat Productions,15584255.0,15584255.0,1
Lamb Bear Entertainment,15556340.0,15556340.0,1
Clap Filmes,15530077.0,15530077.0,1
AFS Film,15530077.0,15530077.0,1
Fear of God Films,15520023.0,15520023.0,1
Legend Production Company,15502112.0,15502112.0,1
Embassy International Pictures,15502112.0,15502112.0,1
Alive Productions,15500000.0,15500000.0,1
Amicus Entertainment,15500000.0,15500000.0,1
Magnolia Pictures,15486544.0,2212363.4285714286,7
The Javelina Film Company,15479002.0,7739501.0,2
ITC Entertainment,15475600.0,5158533.333333333,3
George Stevens Productions,15473333.0,15473333.0,1
Clarius Entertainment,15447154.0,15447154.0,1
Shochiku-Fuji Company,15447091.0,7723545.5,2
Reversal Films Inc.,15445131.0,15445131.0,1
Good Films,15436808.0,15436808.0,1
Kellgate Limited,15429177.0,15429177.0,1
Neverland Films,15427192.0,15427192.0,1
Office Kitano,15404120.0,7702060.0,2
Kim and Jim Productions,15385007.0,7692503.5,2
Barbarian Films,15350645.0,7675322.5,2
Bece Canada Productions,15345201.0,15345201.0,1
Platinum Pictures,15340000.0,15340000.0,1
A-Mark Entertainment,15309302.0,15309302.0,1
Muse Entertainment Enterprises,15304890.0,15304890.0,1
Phoenix Film Investments,15298355.0,15298355.0,1
Canal+ Polska,15298355.0,15298355.0,1
Phoenix Film Poland,15298355.0,15298355.0,1
City of Lodz,15298355.0,15298355.0,1
Little Brother Inc.,15250000.0,15250000.0,1
Fuzzy Bunny Films (I),15250000.0,15250000.0,1
"Ruddy Morgan Organization, The",15240435.0,15240435.0,1
Yeah,15200000.0,15200000.0,1
Sweetpea Entertainment,15185241.0,15185241.0,1
Fawzi Vision,15172408.0,15172408.0,1
Magic Picture,15172408.0,15172408.0,1
Rekun Cinema,15172408.0,15172408.0,1
Fiction Films,15121165.0,15121165.0,1
ChickFlick Productions,15119289.0,7559644.5,2
Amiguetes Entertainment,15040009.0,7520004.5,2
Loew's,15034000.0,5011333.333333333,3
Quick Draw Productions,15008161.0,15008161.0,1
Cineblue Internationale Filmproduktionsgesellschaft,15007991.0,15007991.0,1
City Productions,15007991.0,15007991.0,1
Sathya Movies,15000000.0,15000000.0,1
PalmStar Entertainment,15000000.0,15000000.0,1
2D Entertainment,15000000.0,15000000.0,1
Miscellaneous Entertainment,15000000.0,15000000.0,1
Traverse Media,15000000.0,15000000.0,1
CarpeDiem Film & TV,15000000.0,15000000.0,1
United Seven Creations,15000000.0,15000000.0,1
Bakshi Productions,15000000.0,7500000.0,2
Productions 10th Ave,15000000.0,15000000.0,1
Egg Films,14980005.0,14980005.0,1
Show East,14980005.0,14980005.0,1
Sio Film and Bravo Entertainment,14961069.0,14961069.0,1
Ferndale Films,14896152.0,7448076.0,2
Brucks Entertainment,14860766.0,14860766.0,1
Screenland Pictures,14828081.0,14828081.0,1
Standard Film Company,14821658.0,14821658.0,1
Prom Night Productions,14796236.0,14796236.0,1
Institut Català de les Empreses Culturals (ICEC),14774286.0,4924762.0,3
Trans Pacific Films,14748813.0,7374406.5,2
TVP S.A.,14723313.0,14723313.0,1
Akson Studio,14723313.0,14723313.0,1
Jesse Films Inc.,14711793.0,14711793.0,1
Campbell Grobman Films,14708696.0,14708696.0,1
Criminal Productions,14708696.0,14708696.0,1
Lightmotive,14683921.0,14683921.0,1
Long Shong Pictures,14681661.0,14681661.0,1
Aurora,14665733.0,14665733.0,1
Mrs. Brisby Ltd.,14665733.0,14665733.0,1
Dog Eat Dog Productions Inc.,14661007.0,14661007.0,1
Neue Road Movies,14632860.0,7316430.0,2
Desert Flower,14631377.0,14631377.0,1
Desert Flower Filmproductions,14631377.0,14631377.0,1
Torus,14631377.0,14631377.0,1
Black Entertainment Television (BET),14618727.0,14618727.0,1
Relativity Sports,14618727.0,14618727.0,1
Homegrown Pictures,14618727.0,14618727.0,1
Undisputed Cinema,14618727.0,14618727.0,1
Rivdel Films,14564027.0,14564027.0,1
Cinemarque Entertainment BV,14564027.0,14564027.0,1
Mersham Productions,14560084.0,14560084.0,1
Svensk Filmindustri (SF),14524709.0,4841569.666666667,3
Baumgarten Merims Productions,14505558.0,7252779.0,2
Cinéfrance 1888,14503230.0,7251615.0,2
Ocean Films,14500000.0,14500000.0,1
Jolly Film,14500000.0,14500000.0,1
Haven Entertainment,14453389.0,4817796.333333333,3
Olympus Pictures,14434559.0,2405759.8333333335,6
Thomas Coleman and Michael Rosenblatt Productions,14418922.0,14418922.0,1
Film Development Fund,14418922.0,14418922.0,1
Atlantic Releasing Corporation,14418922.0,14418922.0,1
National Lottery through UK Film Council,14414920.0,7207460.0,2
Joanna Productions,14400000.0,14400000.0,1
Ang Lee Productions,14380184.0,4793394.666666667,3
Innovisions,14363400.0,14363400.0,1
Cornelius Productions,14358033.0,14358033.0,1
Same Player,14348529.0,14348529.0,1
Versus Pictures,14333790.0,14333790.0,1
Fugitive Studios,14332467.0,14332467.0,1
Pindrop,14332467.0,14332467.0,1
Lipsync Post,14332467.0,14332467.0,1
HireWorks,14332467.0,14332467.0,1
Kriti Productions,14332467.0,14332467.0,1
Mindfire Entertainment,14298495.0,7149247.5,2
St. Michael Finance Limited,14296438.0,14296438.0,1
Investors In Industry PLC,14296438.0,14296438.0,1
Artistry Limited,14296438.0,14296438.0,1
Robert Fleming Leasing Limited,14296438.0,14296438.0,1
Aashirvad Cinemas,14250547.0,7125273.5,2
Fox Films Ltd.,14237000.0,14237000.0,1
The Image Organization,14225876.0,14225876.0,1
Filmtech,14225876.0,14225876.0,1
Victor Solnicki Productions,14225876.0,14225876.0,1
Filmplan,14225876.0,14225876.0,1
Malofilm,14225876.0,14225876.0,1
Polygram Pictures,14202899.0,14202899.0,1
Embassy Films,14202899.0,14202899.0,1
"Feuer and Martin Production, A",14202899.0,14202899.0,1
Jennings Lang,14200000.0,14200000.0,1
Smokewood Entertainment,14166853.0,14166853.0,1
Fonds Eurimages du Conseil de l'Europe,14141339.0,7070669.5,2
3 in the Box,14109284.0,14109284.0,1
Antares Produzione Cinematografica,14056528.0,14056528.0,1
Mediaworks,14048372.0,14048372.0,1
Steelwork Films,14048372.0,14048372.0,1
Milestone Productions,14030305.0,7015152.5,2
Chic Films,14016568.0,14016568.0,1
Westerly Films,14016568.0,14016568.0,1
Revolver Amsterdam,14016568.0,14016568.0,1
Blinder Films,14016568.0,14016568.0,1
Suntaur Entertainment Company,14011454.0,14011454.0,1
Storm King Productions,14010832.0,14010832.0,1
Animationwerks,14010832.0,14010832.0,1
Hal Roach Studios,14000623.0,7000311.5,2
Horror Inc.,14000000.0,14000000.0,1
Inverness Productions,14000000.0,14000000.0,1
Angeles Entertainment Group,14000000.0,14000000.0,1
Jhamu Sughand Productions,14000000.0,14000000.0,1
Warner Bros. Entertainment France,14000000.0,14000000.0,1
Mooseport Productions,14000000.0,14000000.0,1
France 3 (FR 3),14000000.0,14000000.0,1
Gatlin,14000000.0,14000000.0,1
Cinema Group,14000000.0,14000000.0,1
Wide Angle Creations,14000000.0,14000000.0,1
Rajkumar Theatres,14000000.0,14000000.0,1
Jackie Productions (II),13960394.0,13960394.0,1
Bliss Media,13960394.0,13960394.0,1
Endemol Shine Studios,13960394.0,13960394.0,1
Def Pictures,13960203.0,13960203.0,1
Besiktas Kültür Merkezi (BKM),13954476.0,13954476.0,1
Ministry of Culture of the Russian Federation,13923732.0,6961866.0,2
Reliance Big Pictures,13900000.0,6950000.0,2
PBS,13885802.0,13885802.0,1
Darlow Smithson Productions,13885802.0,13885802.0,1
Silvatar Media,13865435.0,13865435.0,1
The Catalina Production Group,13854000.0,13854000.0,1
Sweetland Films,13835130.0,13835130.0,1
Magnolia Films,13835130.0,13835130.0,1
Jasmine Productions Inc.,13835130.0,13835130.0,1
Winter's Bone Productions,13831503.0,13831503.0,1
Taurus Films,13801755.0,13801755.0,1
Polar Productions,13801755.0,13801755.0,1
Free Range Films,13788778.0,4596259.333333333,3
E Stars Films,13785015.0,13785015.0,1
Film 360,13785015.0,13785015.0,1
Marvel Animation,13700000.0,6850000.0,2
Micro scope,13685753.0,6842876.5,2
Arcola Pictures,13680000.0,13680000.0,1
Prone Gunman,13644292.0,13644292.0,1
Prone Gunman A.I.E.,13644292.0,13644292.0,1
Distressed Films,13624522.0,13624522.0,1
Cosmo-Films,13624522.0,13624522.0,1
Filmwave Pictures,13624522.0,13624522.0,1
SW7D Productions,13620075.0,13620075.0,1
Lone Wolf McQuade Associates,13594931.0,6797465.5,2
La Sexta,13551174.0,13551174.0,1
Cindy Cowan Entertainment,13551174.0,13551174.0,1
Attitude Pinículas y Films A.I.E.,13551174.0,13551174.0,1
HW Two,13521829.0,13521829.0,1
Charles Chaplin Productions,13519181.0,3379795.25,4
Fida Film,13500000.0,13500000.0,1
Creavidi,13500000.0,13500000.0,1
Gener8Xion Entertainment,13391174.0,13391174.0,1
Starlight International Media,13380561.0,13380561.0,1
Oscilloscope Laboratories,13341855.0,2223642.5,6
The Organization,13300000.0,13300000.0,1
Rio Dulce,13269963.0,13269963.0,1
Dragonfly Entertainment,13233639.0,4411213.0,3
Also Known As Pictures,13231461.0,13231461.0,1
19 Entertainment,13225427.0,6612713.5,2
August Entertainment,13207044.0,4402348.0,3
Brideshead Films,13204291.0,13204291.0,1
Zak Productions,13204291.0,13204291.0,1
Mestiere Cinema,13204291.0,13204291.0,1
Dharma Productions Dillywood,13200241.0,13200241.0,1
Greenpoint Films,13200170.0,13200170.0,1
Elle Driver,13199689.0,6599844.5,2
Cinemarque Entertainment,13199197.0,6599598.5,2
Sobras International Pictures,13175129.0,6587564.5,2
Tazora Films,13101672.0,13101672.0,1
Animus Films,13058036.0,6529018.0,2
Memento Films Production,13033814.0,6516907.0,2
Sahara One Entertainment,13033082.0,6516541.0,2
Pax Enterprises,13007551.0,13007551.0,1
Ashutosh Gowariker Productions Pvt. Ltd.,13000000.0,13000000.0,1
Two Girls Productions,13000000.0,13000000.0,1
India Talkies,13000000.0,13000000.0,1
Roven-Cavallo Entertainment,12974636.0,12974636.0,1
Lucky Red,12951080.0,4317026.666666667,3
Shaft,12947880.0,12947880.0,1
Film Commission Regione Valle d'Aosta,12935800.0,12935800.0,1
Antietam Filmworks,12923936.0,12923936.0,1
Pluperfect,12918858.0,12918858.0,1
Nippon Herald Films,12895747.0,6447873.5,2
The Walt Disney Company,12890752.0,12890752.0,1
Mesfilms,12884923.0,12884923.0,1
Catalan Film and Television,12884923.0,12884923.0,1
Vista Organization,12852305.0,6426152.5,2
DMC Films,12830800.0,6415400.0,2
Cubicle Inc.,12827813.0,12827813.0,1
International Cinema Corporation (ICC),12729678.0,12729678.0,1
Cine-Neighbor,12729678.0,12729678.0,1
Famous Players Limited,12729678.0,12729678.0,1
Selta Films,12729678.0,12729678.0,1
Bigelow Productions,12706478.0,12706478.0,1
Sortie 22,12671300.0,12671300.0,1
Park Ex Pictures,12671300.0,12671300.0,1
Protagonist Pictures,12648190.0,4216063.333333333,3
Surefire Capital,12639297.0,12639297.0,1
Sierra Pictures,12639297.0,12639297.0,1
Filmax Entertainment,12634000.0,6317000.0,2
Lakeshore International,12534961.0,12534961.0,1
Media Transactions,12534817.0,12534817.0,1
Ponti-De Laurentiis Cinematografica,12500000.0,12500000.0,1
Lantana,12384120.0,12384120.0,1
Hemdale,12384120.0,12384120.0,1
Mirisch Films Limited,12368234.0,12368234.0,1
Aura Film Partnership,12355798.0,12355798.0,1
The Harold Greenberg Fund,12326757.0,3081689.25,4
Anwar Rasheed Entertainment,12300000.0,6150000.0,2
Maljack Productions,12299668.0,12299668.0,1
Walter Shenson Films,12299668.0,12299668.0,1
Proscenium Films,12299668.0,12299668.0,1
Ealing Studios,12283254.0,3070813.5,4
Jascat,12277096.0,12277096.0,1
BCDF Pictures,12275299.0,6137649.5,2
1818,12232628.0,12232628.0,1
McMurdo (Canada) Productions,12206028.0,12206028.0,1
The A. Milchan Investment Group,12195695.0,12195695.0,1
Regency International Pictures,12195695.0,12195695.0,1
Locomotive,12186625.0,12186625.0,1
Wildgaze,12173470.0,12173470.0,1
Ripken Productions,12173470.0,12173470.0,1
Chevy Chase Films,12145169.0,12145169.0,1
Zupnik-Curtis Enterprises,12145169.0,12145169.0,1
K&S Films,12118661.0,12118661.0,1
Coproducción España-Argentina-Francia,12118661.0,12118661.0,1
NEST Family Entertainment,12100202.0,6050101.0,2
King Video Productions,12090735.0,12090735.0,1
Bridgit Folman Film Gang,12037479.0,4012493.0,3
The Independent Film Channel Productions,12031082.0,6015541.0,2
Old Bull Pictures,12007070.0,12007070.0,1
Chessman Park Productions,12000000.0,12000000.0,1
Hombre Productions,12000000.0,12000000.0,1
Film Properties International N.V.,12000000.0,12000000.0,1
White Feather Films,12000000.0,12000000.0,1
Cinema 77,12000000.0,12000000.0,1
Raygun Productions,11992014.0,11992014.0,1
Rosey Film Productions LLC,11992014.0,11992014.0,1
Rai Tre Radiotelevisione Italiana,11990401.0,11990401.0,1
New Breed Productions,11988469.0,11988469.0,1
New Zealand Film Commission,11840644.0,1973440.6666666667,6
Duplass Brothers Productions,11838692.0,1691241.7142857143,7
Ivory Way Productions,11838218.0,11838218.0,1
Verdon Productions Limited,11800000.0,11800000.0,1
Wallis-Hazen,11750000.0,11750000.0,1
R & R Films,11740000.0,11740000.0,1
"Doha Film Institute, The",11661535.0,2915383.75,4
Nexus Factory,11658328.0,5829164.0,2
Transfilm,11607080.0,5803540.0,2
Shopgirl,11588205.0,11588205.0,1
Graveyard Productions,11582891.0,11582891.0,1
N1 European Film Produktions GmbH & Co. KG,11560806.0,11560806.0,1
SC Entertainment,11541758.0,11541758.0,1
Fragile Films,11511937.0,3837312.3333333335,3
Flicks Motion Pictures,11502151.0,11502151.0,1
Cinematograph AB,11501340.0,5750670.0,2
Maddock Films,11480000.0,11480000.0,1
Illuminati Films,11480000.0,11480000.0,1
American Entertainment Investors,11472454.0,11472454.0,1
Xeitgeist Entertainment Group,11472454.0,11472454.0,1
Kreo Films FZ,11472454.0,11472454.0,1
Rafter H Entertainment,11449638.0,11449638.0,1
Patriot Pictures,11449638.0,11449638.0,1
MK2 Productions,11443006.0,1634715.142857143,7
Cartoon Network Studios,11411644.0,11411644.0,1
Armada Films Production,11384015.0,11384015.0,1
CCLA Productions,11341016.0,11341016.0,1
Babe Film,11314530.0,5657265.0,2
Polygon Entertainment,11301649.0,11301649.0,1
Doosabu Film,11301649.0,11301649.0,1
Lars Productions,11293663.0,11293663.0,1
Razor Film Produktion,11274520.0,5637260.0,2
Abe Shuji,11212294.0,11212294.0,1
Hokkaido Broadcasting Co.,11212294.0,11212294.0,1
Robot Communications,11212294.0,11212294.0,1
RKB Mainichi Broadcasting Corporation,11212294.0,11212294.0,1
Chubu-nippon Broadcasting Company (CBC),11212294.0,11212294.0,1
Peirce Pictures,11207130.0,11207130.0,1
Calimari Productions,11203026.0,11203026.0,1
Next Entertainment World,11191532.0,5595766.0,2
Oz Productions Ltd.,11137801.0,11137801.0,1
Polish Brothers Construction,11130889.0,11130889.0,1
Les Films d'Ici,11125849.0,11125849.0,1
IAC Films,11110975.0,11110975.0,1
Sony Pictures International,11098131.0,11098131.0,1
Sanai Pictures,11083449.0,11083449.0,1
Mad Dog Productions,11081586.0,11081586.0,1
Panfilm,11030861.0,11030861.0,1
Wüste Filmproduktion,11030861.0,11030861.0,1
Hal Wallis Productions,11022000.0,5511000.0,2
Epoch Film Co.,11000000.0,11000000.0,1
Tandem Productions,11000000.0,11000000.0,1
Tips Industries,11000000.0,11000000.0,1
DFI,11000000.0,11000000.0,1
Roy Export Company Establishment,11000000.0,11000000.0,1
Extreme Productions,10959475.0,10959475.0,1
Kudzu,10920544.0,10920544.0,1
Elysian Dreams,10920544.0,10920544.0,1
Moonstone Entertainment,10920544.0,10920544.0,1
Ascot Elite Entertainment Group,10900434.0,10900434.0,1
Elara Pictures,10893246.0,10893246.0,1
Rhea Films,10893246.0,10893246.0,1
Prima TV,10892000.0,5446000.0,2
Mirisch G-E Productions,10878107.0,10878107.0,1
double A Films,10873358.0,5436679.0,2
Maven Pictures,10865594.0,5432797.0,2
Steel Mill Pictures,10811558.0,5405779.0,2
Trimark Pictures,10790171.0,1798361.8333333333,6
42,10784467.0,5392233.5,2
Les Films des Tournelles,10759874.0,10759874.0,1
Independent Film Distributors,10750000.0,10750000.0,1
Sky,10743767.0,10743767.0,1
Rodeo Drive,10743767.0,10743767.0,1
Dania Film,10743767.0,10743767.0,1
VIP Media,10743767.0,10743767.0,1
Sociedad General de Televisión (Sogetel),10735731.0,3578577.0,3
Zupnik Cinema Group II,10725228.0,10725228.0,1
GGR,10725228.0,10725228.0,1
Shark Productions,10680275.0,10680275.0,1
Fear and Loathing LLC,10680275.0,10680275.0,1
Cannon Italia Srl,10676194.0,10676194.0,1
Baumgarten-Prophet Entertainment,10667893.0,10667893.0,1
Stellar Megamedia,10652498.0,10652498.0,1
Chuan Production Film Studio,10652498.0,10652498.0,1
Jiangsu Broadcasting System,10652498.0,10652498.0,1
Chris Brinker Productions,10629321.0,10629321.0,1
King-Hitzig Productions,10626725.0,10626725.0,1
George A. Romero Productions,10611160.0,10611160.0,1
Double Play,10609321.0,10609321.0,1
VAE Productions,10604986.0,10604986.0,1
Sarah James Productions,10597734.0,10597734.0,1
Reveal Entertainment,10591577.0,5295788.5,2
Osiris Productions,10589102.0,10589102.0,1
Lieutenant Productions,10589102.0,10589102.0,1
Polsky Films,10589102.0,10589102.0,1
Virtual Films,10580892.0,5290446.0,2
Visitor Pictures,10569964.0,10569964.0,1
Chesterfield Writer's Film Project,10569964.0,10569964.0,1
Sherazade Film Development,10569964.0,10569964.0,1
GEM Global Entertainment Magyar,10569964.0,10569964.0,1
Kadokawa Pictures,10548712.0,5274356.0,2
Pictanovo Nord-Pas-de-Calais,10547319.0,3515773.0,3
thefyzz,10542862.0,3514287.3333333335,3
Sil-Metropole Organisation,10531001.0,3510333.6666666665,3
Battleplan Productions,10511143.0,5255571.5,2
ADF Acquisitions,10501938.0,10501938.0,1
Emmitt Productions Limited,10501938.0,10501938.0,1
Bomar OOD,10501938.0,10501938.0,1
Dunulf Productions,10501938.0,10501938.0,1
United King Films,10499439.0,2624859.75,4
Ultra Films,10496317.0,10496317.0,1
Infogrames Entertainment,10442808.0,10442808.0,1
FourBoys Entertainment,10429707.0,10429707.0,1
Flagship International,10422387.0,10422387.0,1
Noble Nomad Pictures,10422387.0,10422387.0,1
David Hamilton Productions,10422387.0,10422387.0,1
Moulin Productions Inc.,10400000.0,10400000.0,1
ESPN films,10367161.0,10367161.0,1
A Grand Elephant,10337387.0,10337387.0,1
CBS Entertainment Productions,10297601.0,10297601.0,1
Nomadic Pictures,10284318.0,5142159.0,2
Xingu Films,10276243.0,5138121.5,2
Квартал-95,10198357.0,10198357.0,1
Леополис,10198357.0,10198357.0,1
Quat'sous Films,10165694.0,10165694.0,1
SGF Entertainment,10089373.0,10089373.0,1
Muse Entertainment,10089373.0,10089373.0,1
Babe Films,10071085.0,5035542.5,2
Motorino Amaranto,10059330.0,5029665.0,2
Toho Film (Eiga) Co. Ltd.,10037390.0,10037390.0,1
